chunk_id,strategy,text,length,start_index,end_index
20,recursive,"
Product: AMD Ryzen 7 7700 Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 162,600৳.

Product: AMD Ryzen 9 9950X3D Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 874,999৳884,850৳.
",209,4682,4891
21,recursive,"
Product: AMD Ryzen 7 9700X Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: Up Coming.

Product: AMD Ryzen 5 2400G Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: Out Of Stock.
",206,4891,5097
22,recursive,"
Product: AMD Ryzen 5 8600G Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: Out Of Stock.

Product: Lenovo IdeaCentre 3 07IRB8 Core i3 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 48,500৳.
",226,5097,5323
23,recursive,"
Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i3 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 50,000৳.

Product: Lenovo ThinkCentre Neo 50s Gen 4 Core i3 13th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 51,500৳.
",264,5323,5587
24,recursive,"
Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i3 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 52,500৳.

Product: Lenovo IdeaCentre 3 07IRB8 Core i5 14th Gen Brand PC (Upgraded). Category: Lenovo. Subcategory: Brand PC. Price: 62,000৳.
",259,5587,5846
25,recursive,"
Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 62,500৳.

Product: Lenovo ThinkCentre Neo 50s Gen 4 Core i5 12th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 62,500৳.
",264,5846,6110
26,recursive,"
Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 65,500৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 65,500৳.
",264,6110,6374
27,recursive,"
Product: Lenovo ThinkCentre Neo 50s SFF Core i7 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 71,500৳.

Product: Lenovo ThinkCentre Neo 50s Core i7 12th Gen 1TB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 72,500৳.
",254,6374,6628
28,recursive,"
Product: Lenovo IdeaCentre 3 07IAB7 Core i7 12th Gen Desktop PC. Category: Lenovo. Subcategory: Brand PC. Price: 71,500৳73,500৳.

Product: Lenovo ThinkCentre M70s Gen 3 SFF Core i7 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 83,000৳.
",258,6628,6886
29,recursive,"
Product: Asus NUC 13 Pro Core i3 13th Gen Portable Mini Pc. Category: Desktop. Price: 46,500৳.

Product: Asus NUC 13 Pro Core i5 13th Gen Portable Mini Pc. Category: Desktop. Price: 60,500৳.

Product: Asus PN41 Celeron N5100 Mini PC. Category: Desktop. Price: 26,000৳.
",270,6886,7156
30,recursive,"
Product: Asus Nuc 14 Essential Core 3 N355 Portable Mini Pc. Category: Desktop. Price: 36,000৳.

Product: Asus ExpertCenter PN64 Core i3 12th Gen Portable Mini PC. Category: Desktop. Price: 41,000৳.
",200,7156,7356
31,recursive,"
Product: TECLAST K24 Air Intel Celeron N5095 24"" FHD All-in-One PC. Category: Desktop. Price: 42,000৳.

Product: AOC A33 Intel Celeron N5095 23.8"" FHD All in One PC. Category: Desktop. Price: 46,500৳.
",202,7356,7558
32,recursive,"
Product: HP Pro Tower 280 G9 Core i3 12th Gen 8GB RAM Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 52,500৳.

Product: Dell OptiPlex 7010 Core i3 12th Gen Tower Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 53,500৳.
",247,7558,7805
33,recursive,"
Product: Dell VOSTRO 3030 MT Core i5 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 56,000৳.

Product: Dell VOSTRO 3030 MT Core i3 14th Gen Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 50,500৳.
",241,7805,8046
34,recursive,"
Product: Dell VOSTRO 3030 MT Core i3 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 46,500৳.

Product: Dell VOSTRO 3030 MT Core i7 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 76,000৳.
",252,8046,8298
35,recursive,"
Product: DELL OptiPlex 7010 Core i3 13th Gen 8GB RAM Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 57,500৳.

Product: Dell OptiPlex 7020 Core i3 12th Gen Tower Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 55,000৳.
",244,8298,8542
36,recursive,"
Product: Dell OptiPlex 7020 Core i3 14th Gen Tower Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 63,000৳.

Product: HP 280 Pro G9 MT Core i3 14th Gen Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 60,000৳.
",232,8542,8774
37,recursive,"
Product: Dell OptiPlex 7010 Core i5 12th Gen Tower Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 64,500৳.

Product: HP 280 Pro G9 MT Core i5 14th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: 72,500৳.
",229,8774,9003
38,recursive,"
Product: HP Pro Tower 400 G9 Core i7 12th Gen Desktop PC with Windows 11 Pro. Category: HP. Subcategory: Brand PC. Price: 95,000৳.

Product: HP Pro Tower 290 G9 Core i3 12th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: 49,000৳.
",242,9003,9245
39,recursive,"
Product: HP Pro Tower 290 G9 Core i5 12th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 58,000৳.

Product: HP Pro Tower 290 G9 Core i7 12th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 76,000৳.
",242,9245,9487
40,recursive,"
Product: HP Pro Tower 400 G9 Core i5 13th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 74,000৳.

Product: HP Pro Tower 280 G9 Core i7 12th Gen 16GB RAM 512GB SSD Desktop PC. Category: HP. Subcategory: Brand PC. Price: 83,000৳.
",252,9487,9739
41,recursive,"
Product: HP Pro Tower 280 G9 Core i7 14th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: Up Coming.

Product: AMD Ryzen 5 8400F Gaming PC. Category: Ryzen PC. Subcategory: Star PC. Price: Out Of Stock.
",214,9739,9953
42,recursive,"
Product: Dell OptiPlex 3000 Core i5 12th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 65,000৳.

Product: Dell OptiPlex 7020 Core i5 12th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 66,500৳.
",234,9953,10187
43,recursive,"
Product: DELL OptiPlex 7010 Tower Core i5 13th Gen 512GB Brand PC. Category: Dell. Subcategory: Brand PC. Price: 70,500৳.

Product: Dell VOSTRO 3030 MT Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 64,000৳.
",235,10187,10422
44,recursive,"
Product: Dell OptiPlex 7020 Core i5 13th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 72,000৳.

Product: Dell Inspiron 3030 MT Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 73,000৳.
",231,10422,10653
45,recursive,"
Product: Dell OptiPlex Tower 7020 Plus Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 75,000৳.

Product: Dell OptiPlex 7010 Core i7 13th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 93,000৳.
",233,10653,10886
46,recursive,"
Product: Dell Vostro 3020T Core i7 13th Gen Desktop PC. Category: Dell. Subcategory: Brand PC. Price: 95,000৳.

Product: Dell OptiPlex 7020 MT Core i7 13th Gen Mini Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 95,000৳.
",237,10886,11123
47,recursive,"
Product: Dell OptiPlex 7020 Core i7 12th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 93,000৳.

Product: Dell Inspiron 5430 Intel Core 5 120U 23.8"" FHD All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: 92,000৳.
",249,11123,11372
48,recursive,"
Product: Dell Inspiron 5430 Intel Core 7 150U 23.8"" FHD All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: 118,000৳.

Product: Dell OptiPlex 7420 Core i5 14th Gen 23.8"" FHD Touch All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: Out Of Stock.
",275,11372,11647
49,recursive,"
Product: Dell OptiPlex 7420 Core i7 14th Gen 23.8"" FHD Touch All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: Out Of Stock.

Product: Lenovo IdeaCentre AIO 24IRH9 Core i5 13th Gen 23.8"" FHD All-in-One Desktop PC. Category: LENOVO. Subcategory: All-in-One PC. Price: 89,500৳.
",293,11647,11940
50,recursive,"
Product: AOC B911 Intel Celeron N95 23.8"" Full HD All in One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 50,300৳.

Product: AOC A33 Core i5 7th Gen 23.8"" FHD All in One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 55,200৳.
",251,11940,12191
51,recursive,"
Product: AOC B911 Core i5 8th Gen 23.8"" Full HD All in One PC With WebCam. Category: All-in-One PC. Subcategory: Desktop. Price: 58,800৳.

Product: AOC B911 Core i5 8th Gen 27"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 61,500৳.
",286,12191,12477
52,recursive,"
Product: TECLAST K24 Air Core i5 12th Gen 24"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 68,000৳.

Product: ASUS ExpertCenter P440VAK Core i3 13th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 68,500৳.
",270,12477,12747
53,recursive,"
Product: AOC B911 Core i5 12th Gen 23.8"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 71,700৳.

Product: AOC A99 Core i7 13th Gen 27"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 85,600৳.
",297,12747,13044
54,recursive,"
Product: HP All-in-One 24-cr0085d Core i5 13th Gen FHD Touch Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 112,000৳.

Product: HP Pro 240 G9 Core i5 12th Gen All-in-One Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 91,000৳94,500৳.
",272,13044,13316
55,recursive,"
Product: ASUS ExpertCenter P440VAK Core i7 13th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 95,000৳.

Product: HP All-in-One 24-cr0086d Core i5 13th Gen Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 99,500৳.
",268,13316,13584
56,recursive,"
Product: ASUS ExpertCenter E5 E5202WHAK Core i3 11th Gen 21.5"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: Up Coming.

Product: dHP R240 Core i5 4th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 40,000৳.
",271,13584,13855
57,recursive,"
Product: dHP E270 Core i5 7th Gen 27"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 46,800৳.

Product: Asus ExpertCenter E3202 Core i3 12th Gen 21.5"" FHD All-in-One PC. Category: ASUS. Subcategory: All-in-One PC. Price: Out Of Stock.
",262,13855,14117
58,recursive,"
Product: HP Pro 240 G9 Core i7 12th Gen All-in-One Desktop PC. Category: HP. Subcategory: All-in-One PC. Price: Out Of Stock.

Product: HP All-in-One 27-cr0051d Core i7 13th Gen FHD Desktop PC. Category: HP. Subcategory: All-in-One PC. Price: 134,000৳.
",254,14117,14371
59,recursive,"
Product: ASUS NUC 12 Pro Core i3 12th Gen Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 48,500৳.

Product: Asus ExpertCenter PN64 Core i5 12th Gen Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 58,000৳.
",261,14371,14632
60,recursive,"
Product: ASUS ROG NUC Core Ultra 7 155H RTX 4060 8GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.

Product: ASUS NUC 15 Pro Core Ultra 5 225H Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 76,000৳.
",278,14632,14910
61,recursive,"
Product: ASUS ROG NUC Core Ultra 9 185H RTX 4070 8GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",150,14910,15060
62,recursive,"
Product: ASUS ROG NUC Core Ultra 9 275HX RTX 5070Ti 12GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 390,000৳.

Product: Asus PN41 Celeron Dual Core Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 26,000৳.
",263,15060,15323
63,recursive,"
Product: Zotac ZBOX BI322 Intel N3050 Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Up Coming.

Product: Zotac ZBOX PI330 Intel Atom Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Up Coming.
",249,15323,15572
64,recursive,"
Product: Asus PN40 Celeron Dual Core Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.

Product: ASUS PN50 Ryzen 7 4700U Ultracompact Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",245,15572,15817
65,recursive,"
Product: Apple Mac Studio M2 Ultra chip 24-core CPU 64GB Memory 1TB SSD (MQH63X/A). Category: Apple Mac Studio. Subcategory: Desktop. Price: Up Coming.
",153,15817,15970
66,recursive,"
Product: Apple Mac Studio M2 Max chip 12-core CPU 32GB Memory 512GB SSD (MQH73). Category: Apple Mac Studio. Subcategory: Desktop. Price: Up Coming.

Product: Apple Mac Pro M2 Ultra Tower Desktop PC. Category: Apple Mac Pro. Subcategory: Desktop. Price: Up Coming.
",266,15970,16236
67,recursive,"
Product: Apple iMac M4 Chip 256GB SSD 24"" 4.5K Retina Display All-in-One PC (Late 2024). Category: Apple iMac. Subcategory: Desktop. Price: 210,000৳235,000৳.
",159,16236,16395
68,recursive,"
Product: Apple iMac M4 Chip 10 Core GPU 256GB SSD 24"" 4.5K Retina Display All-in-One PC (Late 2024). Category: Apple iMac. Subcategory: Desktop. Price: 250,000৳.
",163,16395,16558
69,recursive,"
Product: Apple iMac M4 Chip 10 Core GPU 512GB SSD 24"" 4.5K Retina Display All-in-One PC (Late 2024). Category: Apple iMac. Subcategory: Desktop. Price: 279,999৳.
",163,16558,16721
70,recursive,"
Product: Apple iMac M4 Chip 10 Core GPU 24GB RAM 24"" 4.5K Retina Display All-in-One PC (Late 2024). Category: Apple iMac. Subcategory: Desktop. Price: 305,000৳315,000৳.
",170,16721,16891
71,recursive,"
Product: Apple Mac Mini M4 chip with 10-core CPU 10-Core GPU 16GB Memory 256GB Storage. Category: Apple Mac Mini. Subcategory: Desktop. Price: 79,000৳83,000৳.
",160,16891,17051
72,recursive,"
Product: Apple Mac Mini M4 chip with 10-core CPU 10-Core GPU 16GB Memory 512GB Storage. Category: Apple Mac Mini. Subcategory: Desktop. Price: 110,000৳115,000৳.
",162,17051,17213
73,recursive,"
Product: Apple Mac Mini M4 chip with 10-core CPU 10-Core GPU 24GB Memory 512GB Storage. Category: Apple Mac Mini. Subcategory: Desktop. Price: 145,000৳.
",154,17213,17367
74,recursive,"
Product: Apple Mac Mini M4 Pro chip with 12-core CPU 16-Core GPU 24GB Memory 512GB Storage #MCX44ZP/A. Category: Apple Mac Mini. Subcategory: Desktop. Price: 195,000৳.

Product: Asus ExpertBook B1 B1503CVA Core i5 13th Gen 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 81,000৳.
",299,17367,17666
75,recursive,"
Product: ASUS Vivobook Go 15 L510KA Intel Celeron N4500 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 36,000৳.

Product: ASUS Vivobook Go 15 L510KA Celeron N4500 15.6"" FHD Laptop Star Black. Category: Asus. Subcategory: All Laptop. Price: 36,800৳.
",269,17666,17935
76,recursive,"
Product: ASUS Vivobook Go 15 E1504GA Core i3 N305 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 49,000৳.

Product: ASUS Vivobook Go 15 E1504GA Core i3 N305 512GB SSD 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 52,000৳.
",262,17935,18197
77,recursive,"
Product: ASUS Vivobook 15 F1504ZA Core i3 15.6-inch FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 52,500৳.

Product: ASUS Vivobook 15 F1504ZA Core i3 12th Gen 15.6"" FHD Laptop Cool Silver. Category: Asus. Subcategory: All Laptop. Price: 52,500৳.
",261,18197,18458
78,recursive,"
Product: ASUS Vivobook 15 F1504ZA Core i3 12th Gen 512GB SSD 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 52,500৳.

Product: ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 55,000৳.
",273,18458,18731
79,recursive,"
Product: ASUS Vivobook 15 X1504VA Core i3 13th Gen 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 54,500৳57,500৳.

Product: ASUS Vivobook 15 X1504VA Core i3 13th Gen 15.6-inch FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 57,000৳.
",265,18731,18996
80,recursive,"
Product: ASUS Vivobook 15 X1504VA Core i3 13th Gen 16GB RAM 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 56,000৳58,500৳.

Product: ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 59,500৳.
",270,18996,19266
81,recursive,"
Product: ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 15.6"" FHD Laptop Cool Silver. Category: Asus. Subcategory: All Laptop. Price: 59,500৳.

Product: ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 8GB RAM 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 59,500৳.
",274,19266,19540
82,recursive,"
Product: ASUS ExpertBook P1 P1403CVA Core i3 13th Gen 14"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 59,500৳.

Product: ASUS Vivobook 15 X1504VA Core i3 15.6-inch FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 60,800৳.
",250,19540,19790
83,recursive,"
Product: ASUS Vivobook 15 X1504VA Core i3 512GB SSD 15.6-inch FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 60,800৳.

Product: ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 58,000৳62,500৳.
",266,19790,20056
84,recursive,"
Product: Asus VivoBook Go 15 OLED E1504FA Ryzen 3 7320U 15.6"" FHD Laptop. Category: Asus. Subcategory: All Laptop. Price: 63,500৳.

Product: Lenovo IdeaPad Slim 3 15AMN8 Ryzen 3 7320U 15.6"" FHD Laptop. Category: All Laptop. Subcategory: Laptop. Price: 51,500৳.
",262,20056,20318
85,recursive,"
Product: Gigabyte A16 GA6H Core i7 13th Gen 16"" FHD+ WUXGA Nvidia RTX 5050 Gaming Laptop. Category: All Laptop. Subcategory: Laptop. Price: 145,000৳154,000৳.

Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 5 5625U 15.6"" Laptop. Category: All Laptop. Subcategory: Laptop. Price: 61,500৳.
",285,20318,20603
86,recursive,"
Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 5 5625U 15.6"" FHD Laptop. Category: All Laptop. Subcategory: Laptop. Price: 61,500৳.

Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 5 5625U Laptop. Category: All Laptop. Subcategory: Laptop. Price: 63,500৳.
",250,20603,20853
87,recursive,"
Product: Lenovo IdeaPad Slim 3 14ABR8 Ryzen 7 5825U 14"" FHD Laptop. Category: All Laptop. Subcategory: Laptop. Price: 67,500৳.

Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 5825U 15.6 Inch Laptop. Category: All Laptop. Subcategory: Laptop. Price: 66,500৳.
",258,20853,21111
88,recursive,"
Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 5825U 15.6"" Laptop. Category: All Laptop. Subcategory: Laptop. Price: 72,000৳.

Product: Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 5825U 15.6"" FHD Laptop. Category: All Laptop. Subcategory: Laptop. Price: 72,000৳.
",256,21111,21367
89,recursive,"
Product: Lenovo IdeaPad Flex 5 14ABR8 Ryzen 5 5625U 14"" WUXZA X360 Touch Laptop. Category: All Laptop. Subcategory: Laptop. Price: 85,000৳.

Product: Lenovo IdeaPad Slim 3 14AHP10 Ryzen 5 8640HS 14"" WUXGA AI Integrated Laptop. Category: All Laptop. Subcategory: Laptop. Price: 89,000৳.
",287,21367,21654
